evaluation,iteration,point_index,phi_applied,target_flux,simulated_flux,point_objective,converged,steps_taken,final_relative_change,final_absolute_change,diagnostics_valid,reason,dJ_dk0_0,dJ_dk0_1,dJ_dk0_2,dJ_dk0_3,dJ_dk0_4,dJ_dk0_5,dJ_dk0_6,dJ_dk0_7
1,0,0,5.0,nan,nan,0.0,0,0,nan,nan,0,target NaN (skipped),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,1,3.0,-0.0019248655010319711,nan,1000000000.0,0,1,nan,nan,0,"Error: error code 91
[0] SNESSolve() at /Users/jakeweinstein/Desktop/ResearchForwardSolverClone/FireDrakeEnvCG/petsc/src/snes/interface/snes.c:4919
[0] SNESSolve has not converged",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,0,5.0,nan,nan,0.0,0,0,nan,nan,0,target NaN (skipped),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,1,3.0,-0.0019248655010319711,nan,1000000000.0,0,1,nan,nan,0,"Error: error code 91
[0] SNESSolve() at /Users/jakeweinstein/Desktop/ResearchForwardSolverClone/FireDrakeEnvCG/petsc/src/snes/interface/snes.c:4919
[0] SNESSolve has not converged",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,2,2.0,0.001657204100358968,0.0030248160082412988,9.351811652907743e-07,1,5,2.3091137286258073e-06,6.984644171197096e-09,1,,0.000829392318391846,-4.254504870419988e-18,-8.268544489043287e-06,4.253842317029597e-21,-9.043034650265083e-08,5.162594630453378e-09,2.2497189979665297e-08,-3.145139469456175e-07
2,0,3,1.0,0.0020274093050267556,0.0015715150925772854,1.0391976647245403e-07,1,6,6.252302870633251e-07,9.82559446782369e-10,1,,-0.00014325295592880038,9.228875604903345e-18,7.140730707398649e-07,-4.6137191967610256e-21,1.5098706142950525e-08,-2.6921484103395397e-09,-2.263385212275042e-08,7.224000719666451e-08
2,0,4,0.5,0.0016963589498702508,0.0009450390399408201,2.822408035281812e-07,1,8,0.0,0.0,1,,-0.00014087119982603147,4.4788140360513864e-17,3.5110036503742315e-07,-1.1195291377572664e-20,2.119554593320681e-08,-8.341334218726223e-09,-6.77721465704373e-08,1.2252760979237987e-07
2,0,5,-0.25,9.787808224577296e-05,-0.0008467204257669699,4.461331706699497e-07,1,8,0.0,0.0,1,,0.00015094857965587935,1.570252956817524e-06,1.8810836240661567e-07,1.9625105269569974e-10,-3.179499253088384e-08,5.421529508862852e-08,3.295740953249462e-07,-2.698186256901497e-07
2,0,6,-0.5,0.0008284357544344418,-0.0022270129176257336,4.667883293797146e-06,1,9,0.0,0.0,1,,0.0012457110069531562,2.2594679246727953e-05,3.1047480948023273e-06,5.647790145199303e-09,-1.4466946480377384e-07,6.270682146913858e-07,4.241140371266769e-06,-2.6566657501447075e-06
2,0,7,-1.0,-0.0030451579556228492,-0.0081377755262088,1.2967376860120335e-05,1,9,0.0,0.0,1,,0.006528074951270363,0.0003453612509805524,3.254049800403766e-05,1.7265373396297555e-07,-2.166014148631001e-08,8.752260844273476e-06,4.784052217788578e-05,-1.8490208089642994e-05
2,0,8,-1.5,-0.009629032660950181,-0.021007191031121378,6.473124394834853e-05,1,9,0.0,0.0,1,,0.027192001483757486,0.003628896860326069,0.00020331597215404433,2.7212487995812924e-06,-1.7927637193773097e-05,0.00010224764598343932,0.00036167960170886855,-9.653071487302011e-05
2,0,9,-2.0,-0.02806388000465943,-0.04067589295163102,7.953143528728723e-05,1,8,0.0,0.0,1,,0.03702800296424122,0.009995984094645471,0.0003691470044524891,9.994427421576837e-06,-0.00011834998934115308,0.00032291489204451583,0.0007547710248654655,-0.0001627907514426943
2,0,10,-3.0,-0.07062632658911619,-0.08414808836253357,9.141902072852312e-05,1,9,0.0,0.0,1,,0.032489598304029005,0.020448211373844512,0.000485852743721258,3.06675404655391e-05,-0.0005421979722280563,0.0008677914642434382,0.00105339167184706,-0.00023217560262482135
2,0,11,-4.0,-0.11374410566656826,-0.11801927635097322,9.13854219039778e-06,1,8,0.0,0.0,1,,0.006676895957749174,0.006018482614859606,0.0001331293045549508,1.20350907149717e-05,-0.0002865213944343563,0.000355719069596769,0.00023723937591737683,-8.225346513005172e-05
2,0,12,-5.0,-0.13529687004182023,-0.14049680895000974,1.3519682324454159e-05,1,9,0.0,0.0,1,,0.005205151159042996,0.004422030607247781,0.00012973059605312317,1.105335491275038e-05,-0.0004302441335645071,0.00045449598611924357,0.00013976274836940264,-0.0001081769294906933
2,0,13,-6.5,-0.16231323682892557,-0.15942118209784348,4.181990283790277e-06,1,9,0.0,0.0,1,,-0.0015996913691476993,0.00034290894878401913,-5.1830884641655364e-05,1.1142805297847598e-06,0.0002703694887975734,-0.000249600749941191,6.788953726401602e-06,6.465111054734579e-05
2,0,14,-8.0,-0.16981444188710207,-0.16836421036624868,1.0515857320381187e-06,1,8,0.0,0.0,1,,-0.0005158045588554666,0.0013297700549793402,-2.056904964259798e-05,5.318251880371183e-06,0.0001426687450823695,-0.00012498802521593893,2.294329909907238e-05,3.3787247981798446e-05
2,0,15,-10.0,-0.1747685287527713,-0.17345533611648153,8.622374500027907e-07,1,8,0.0,0.0,1,,-0.0003213366768624719,0.0018308102546964638,-1.6017670707093596e-05,9.152625714482765e-06,0.0001329184280720676,-0.00011523602201357184,2.8638843962777718e-05,3.126766096571795e-05
2,0,16,-13.0,-0.17783755579113814,-0.1763388603085225,1.1230440748064237e-06,1,7,0.0,0.0,1,,-0.0002818093027865638,0.0022090342490355117,-1.826155437902742e-05,1.4356486537061473e-05,0.0001548974401086936,-0.00013706327532561944,3.536367308565392e-05,3.599772382734021e-05
2,0,17,-17.0,-0.18027428486837335,-0.17830773908471284,1.933651159617505e-06,1,6,4.050954227106635e-06,7.223164893710443e-07,1,,-0.00030884277608878914,0.0026146817279022617,-2.6171308208969374e-05,2.2221333623303916e-05,0.00020766233692135508,-0.00019007175701375213,4.7228319408087614e-05,4.7462138080037e-05
2,0,18,-22.0,-0.1826748221490028,-0.180135063636466,3.225186651001272e-06,1,6,4.530284711810383e-06,8.160631248532724e-07,1,,-0.00033477200614792754,0.0029214063986399428,-3.671223957169513e-05,3.21304659331694e-05,0.00027549720102113066,-0.0002614220751375405,6.173793373960556e-05,6.182716936302728e-05
2,0,19,-28.0,-0.18435711908892516,-0.18193513410742354,2.9330056253078817e-06,1,6,4.324181656187512e-06,7.867205695233359e-07,1,,-0.0002526522705215062,0.0022751676548781767,-3.52630846685639e-05,3.1847386807159404e-05,0.000269643685246266,-0.0002644976981501618,5.943465194384404e-05,5.945801628367816e-05
