sample_idx,k0_1,k0_2,alpha_1,alpha_2,nn_ensemble_cd_nrmse,nn_ensemble_pc_nrmse,rbf_baseline_cd_nrmse,rbf_baseline_pc_nrmse,pod_rbf_log_cd_nrmse,pod_rbf_log_pc_nrmse,pod_rbf_nolog_cd_nrmse,pod_rbf_nolog_pc_nrmse,gp_fixed_cd_nrmse,gp_fixed_pc_nrmse,pce_cd_nrmse,pce_pc_nrmse
2679,0.0026687976975297975,0.001234160556844609,0.6926224093968374,0.35751068454691326,0.006533273261091556,0.010542926507333709,0.014449437884263297,0.015120215849955054,0.007739571282178161,0.01043834480580221,0.007548715513139857,0.010388334160589761,0.004175850068054698,0.0050940642523180455,0.0560835694994098,0.09290128295830151
859,0.05045112419578963,0.00012459967976758703,0.13128354239190232,0.3666206724207428,0.00841510592906003,0.010019098274171028,0.005824526127254413,0.013989532361721803,0.021907996673130557,0.028946734951182516,0.01798082345057466,0.03365644353347276,0.004915186021811706,0.009283109134854937,0.04362335546128929,0.09898676900013753
677,1.0798648089263864e-05,0.03991998928396371,0.19329635007478005,0.20061524513843523,0.015161851755402113,0.2443774031059547,0.03248257444679949,0.5337770764209653,0.012155672739040706,0.2880195520397466,0.012571963744467507,0.30980323916202507,0.014841826099998501,0.5380716480018477,0.03136990931063316,2.5453302447876855
2639,0.003405559525126352,7.127918176415422e-05,0.6161867717181062,0.5103459083358417,0.006113494861516218,0.014081874655419196,0.006200980137400633,0.00896252672323235,0.003489254041254376,0.007872874886218054,0.0036867282949611373,0.007196351522618142,0.0016900664229358587,0.009463726835065757,0.044998466946782285,0.154265269275293
1103,1.5214428228952593e-05,3.2363784618634317e-06,0.534953330222954,0.29688347387013425,0.012879542055926575,0.011974799014578406,0.011366339560175392,0.01041187094907862,0.008486212243685542,0.012924419509213357,0.008222706045713546,0.01227858654558991,0.012298008617642672,0.013493992485730836,0.03568368040060945,0.11128784479769237
2766,0.006329170684014287,0.007186629997100026,0.6068042292280715,0.6398674535147479,0.01919537157453371,0.04630094389582378,0.021446521612064274,0.052180675595008885,0.011252914669915872,0.09011229356121105,0.011278332691343757,0.09274961129216051,0.011828798110399805,0.062593389109041,0.04079214189599808,0.7901027251353799
78,0.004867884001850989,4.034696959186624e-05,0.4323382694147657,0.33316595652413117,0.003728478028862785,0.009920787990584774,7.483731418779795e-05,0.00015617088859120956,0.004369786561852706,0.008943639634239163,0.0043730395823532876,0.008190900827371634,0.0022361957765141736,0.009498003786019473,0.022841519393388927,0.121344504671632
3323,0.013305534786585032,2.139332656429262e-07,0.3500124643230217,0.3845459519821426,0.12518653483337935,0.1204895882647998,0.13439164397160908,0.13813532299211007,0.12431696884899643,0.12125665362707447,0.12402333538305199,0.12703769911783838,0.09469230069712319,0.11690488978443653,0.09860996332263341,0.11392516943527063
2561,0.006847286158590589,0.004034453789285592,0.375404815682864,0.6240403953434535,0.012603203702540658,0.027047046071828926,0.0017287871276878285,0.017902697188019408,0.013459186065651205,0.053051448227653224,0.013361136672021686,0.054226031460620515,0.01220497559133103,0.01607381256273009,0.010300464584473177,0.41819419340280783
866,0.03511392268922585,0.003312279171411051,0.35112969058228727,0.6272600614134733,0.014479824675649802,0.021987240089538822,0.0008139459253299568,0.002424953799206392,0.003211055526447837,0.02124579175594919,0.0033839380030835685,0.02278684489697786,0.01595671334723231,0.002985545678909506,0.03777412343076278,0.16925345200090752
3410,3.056797055712867e-05,2.9702666057498557e-07,0.5209562849586206,0.7969477048923111,0.1708113278136639,0.044172013126066986,0.12363948825422857,0.011961253398731513,0.14894473310315082,0.02270140820394176,0.1485295218924763,0.023603554762390202,0.17086692435492104,0.012795368028340767,0.1543071932061268,0.18745971007576775
1712,0.00580707372720763,0.00028475451365644314,0.5500734830666074,0.33723956094513113,0.004398380449378967,0.008378461108137048,0.042836924175115226,0.04058069983173321,0.011651612439598918,0.013081679176609603,0.011633145958988511,0.011656475215173302,0.00217922470452665,0.004316353525606183,0.035401704237866545,0.09450059856212763
377,0.0008972431940733195,7.128116433796951e-05,0.3643890326701237,0.6703449384815312,0.009257117711610278,0.03835405080387233,0.02232763373988485,0.007462096572062144,0.02336124257670538,0.030889661638060693,0.023659967049726584,0.03186362463474143,0.009794748503923513,0.01620271564987797,0.01620960828926658,0.26861287984658727
50,0.0024696117138239947,2.6807746623329013e-06,0.4641017614690901,0.796134748610266,0.02553765401647122,0.034186204141555855,0.00101739772052036,0.0026347472526374177,0.00392488672297555,0.013193465813105565,0.003968873581880569,0.013763023093879275,0.013894126747751768,0.011642143592494535,0.03426654072062337,0.14886382941695647
